suitability_global_id,suitability_report_id,portfolio_id,allocation_model_id,model_risk,max_risk,min_risk,client_risk,risk_drift,max_tracking_error,tracking_error,tracking_error_drift,max_non_strategy_vol_budget,non_strategy_vol_budget,non_strategy_vol_drift,max_non_strategy_assets,non_strategy_assets,non_strategy_assets_drift,drifted
37886,443,AM-4202GPD006,27,0.0689,0.0758,0.0620,0.0726,False,0.0069,0.0074,True,0.0000,0.0000,False,0,0,False,True
37887,443,AM-4202GPD007,26,0.0904,0.0995,0.0814,0.0936,False,0.0090,0.0057,False,0.0000,0.0000,False,0,0,False,False
37888,443,FH00002223,25,0.1107,0.1217,0.0996,0.1104,False,0.0111,0.0012,False,0.0000,0.0000,False,0,0,False,False
37889,443,JM00002226,28,0.0793,0.0872,0.0713,0.0801,False,0.0079,0.0011,False,0.0000,0.0000,False,0,0,False,False
37890,443,PD00002228,30,0.0405,0.0446,0.0365,0.0419,False,0.0041,0.0018,False,0.0000,0.0000,False,0,0,False,False
37891,443,TAE06008,27,0.0689,0.0758,0.0620,0.0704,False,0.0069,0.0017,False,0.0000,0.0000,False,0,0,False,False
37892,443,TAE06089i,27,0.0689,0.0758,0.0620,0.0705,False,0.0069,0.0019,False,0.0000,0.0000,False,0,0,False,False
37893,443,TAI09610,27,0.0689,0.0758,0.0620,0.0499,True,0.0069,0.0260,True,0.0000,0.0000,False,0,0,False,True
37894,443,TAI09622,29,0.0500,0.0550,0.0450,0.0276,True,0.0050,0.0295,True,0.0000,0.0000,False,0,0,False,True
37895,443,TAI09632,29,0.0500,0.0550,0.0450,0.0287,True,0.0050,0.0290,True,0.0000,0.0000,False,0,0,False,True
37896,443,TAI09636,29,0.0500,0.0550,0.0450,0.0294,True,0.0050,0.0287,True,0.0000,0.0000,False,0,0,False,True
37897,443,TAI09942,27,0.0689,0.0758,0.0620,0.0000,True,0.0069,0.0689,True,0.0000,0.0000,False,0,0,False,True
37898,443,TAI09956,29,0.0500,0.0550,0.0450,0.0527,False,0.0050,0.0030,False,0.0000,0.0000,False,0,0,False,False
37899,443,TAI09958,26,0.0904,0.0995,0.0814,0.0915,False,0.0090,0.0016,False,0.0000,0.0000,False,0,0,False,False
37900,443,TAI09976,27,0.0689,0.0758,0.0620,0.0707,False,0.0069,0.0021,False,0.0000,0.0000,False,0,0,False,False
37901,443,TAIPL6023,27,0.0689,0.0758,0.0620,0.0495,True,0.0069,0.0262,True,0.0000,0.0000,False,0,0,False,True
37902,443,TAIPL6032,26,0.0904,0.0995,0.0814,0.0642,True,0.0090,0.0343,True,0.0000,0.0000,False,0,0,False,True
37903,443,TAIPL6038,26,0.0904,0.0995,0.0814,0.0641,True,0.0090,0.0344,True,0.0000,0.0000,False,0,0,False,True
37904,443,TAIPL6044,26,0.0904,0.0995,0.0814,0.0665,True,0.0090,0.0324,True,0.0000,0.0000,False,0,0,False,True
37905,443,TAIPL6044A,26,0.0904,0.0995,0.0814,0.0657,True,0.0090,0.0331,True,0.0000,0.0000,False,0,0,False,True
37906,443,TAIPL6062,27,0.0689,0.0758,0.0620,0.0500,True,0.0069,0.0260,True,0.0000,0.0000,False,0,0,False,True
37907,443,TAIPL6092,27,0.0689,0.0758,0.0620,0.0498,True,0.0069,0.0261,True,0.0000,0.0000,False,0,0,False,True
37908,443,TAIPL6095,29,0.0500,0.0550,0.0450,0.0291,True,0.0050,0.0288,True,0.0000,0.0000,False,0,0,False,True
37909,443,TAIPR1003,26,0.0904,0.0995,0.0814,0.0914,False,0.0090,0.0014,False,0.0000,0.0000,False,0,0,False,False
37910,443,TAIPR1009,26,0.0904,0.0995,0.0814,0.0917,False,0.0090,0.0017,False,0.0000,0.0000,False,0,0,False,False
37911,443,TAIPR1018,26,0.0904,0.0995,0.0814,0.0917,False,0.0090,0.0016,False,0.0000,0.0000,False,0,0,False,False
37912,443,TAIPR1041,26,0.0904,0.0995,0.0814,0.0907,False,0.0090,0.0044,False,0.0000,0.0000,False,0,0,False,False
37913,443,TAIPR1047,29,0.0500,0.0550,0.0450,0.0514,False,0.0050,0.0018,False,0.0000,0.0000,False,0,0,False,False
37914,443,TAIPR1050,25,0.1107,0.1217,0.0996,0.1148,False,0.0111,0.0043,False,0.0000,0.0000,False,0,0,False,False
37915,443,TAIPR1068,29,0.0500,0.0550,0.0450,0.0522,False,0.0050,0.0027,False,0.0000,0.0000,False,0,0,False,False
37916,443,TAIPR1074,27,0.0689,0.0758,0.0620,0.0697,False,0.0069,0.0044,False,0.0000,0.0000,False,0,0,False,False
37917,443,TAIPR1089,27,0.0689,0.0758,0.0620,0.0703,False,0.0069,0.0017,False,0.0000,0.0000,False,0,0,False,False
37918,443,TAIPR1104,25,0.1107,0.1217,0.0996,0.1122,False,0.0111,0.0019,False,0.0000,0.0000,False,0,0,False,False
37919,443,TAIPR1107,27,0.0689,0.0758,0.0620,0.0703,False,0.0069,0.0017,False,0.0000,0.0000,False,0,0,False,False
37920,443,TAIPR1110,29,0.0500,0.0550,0.0450,0.0487,False,0.0050,0.0080,True,0.0000,0.0000,False,0,0,False,True
37921,443,TAIPR1116,27,0.0689,0.0758,0.0620,0.0702,False,0.0069,0.0016,False,0.0000,0.0000,False,0,0,False,False
37922,443,TAIPR1131,27,0.0689,0.0758,0.0620,0.0702,False,0.0069,0.0017,False,0.0000,0.0000,False,0,0,False,False
37923,443,TAIPR1153,26,0.0904,0.0995,0.0814,0.0912,False,0.0090,0.0009,False,0.0000,0.0000,False,0,0,False,False
37924,443,TAIPR1160,26,0.0904,0.0995,0.0814,0.0919,False,0.0090,0.0019,False,0.0000,0.0000,False,0,0,False,False
